[32m[I 2022-07-05 21:47:26,162][0m A new study created in RDB with name: optimizacion_riesgo[0m
[32m[I 2022-07-05 22:13:08,659][0m Trial 21 finished with value: 0.34390147110831426 and parameters: {'sigma': 19.86463372018643, 'a': 7.041203184464067, 'strategy': 'median', 'add_indicator': True, 'max_depth': 74, 'n_estimators': 421, 'boosting_type': 'gbdt', 'num_leaves': 14244, 'learning_rate': 2.630865260674723e-07, 'min_split_gain': 2.6611168952005273, 'min_child_samples': 231, 'subsample': 0.33988652775142086, 'subsample_freq': 48, 'colsample_bytree': 0.5490544921912732, 'reg_alpha': 67.10966742601119, 'reg_lambda': 27.992857521398}. Best is trial 18 with value: 0.3488856633966803.[0m
[32m[I 2022-07-05 22:13:59,458][0m Trial 22 finished with value: 0.35078772687891435 and parameters: {'sigma': 13.74320546382274, 'a': 9.900179112600297, 'strategy': 'median', 'add_indicator': True, 'max_depth': 87, 'n_estimators': 386, 'boosting_type': 'gbdt', 'num_leaves': 623, 'learning_rate': 2.2130167731453803e-07, 'min_split_gain': 1.155218894467512, 'min_child_samples': 471, 'subsample': 0.55200465101949, 'subsample_freq': 46, 'colsample_bytree': 0.35237192437798537, 'reg_alpha': 55.87477069301193, 'reg_lambda': 35.79505500614068}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:15:24,468][0m Trial 23 finished with value: 0.35042248669229614 and parameters: {'sigma': 12.75776365340963, 'a': 12.482756620547665, 'strategy': 'median', 'add_indicator': True, 'max_depth': 91, 'n_estimators': 930, 'boosting_type': 'gbdt', 'num_leaves': 734, 'learning_rate': 3.8365027147636635e-07, 'min_split_gain': 1.1267213322624225, 'min_child_samples': 512, 'subsample': 0.5715248263127586, 'subsample_freq': 151, 'colsample_bytree': 0.3615668501205406, 'reg_alpha': 53.99516156521254, 'reg_lambda': 37.964140674356415}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:16:36,200][0m Trial 24 finished with value: 0.3493967980649826 and parameters: {'sigma': 12.926618196973813, 'a': 12.40676403978986, 'strategy': 'median', 'add_indicator': True, 'max_depth': 90, 'n_estimators': 732, 'boosting_type': 'gbdt', 'num_leaves': 833, 'learning_rate': 1.480045375547623e-06, 'min_split_gain': 1.0201182822741024, 'min_child_samples': 488, 'subsample': 0.4410473813764338, 'subsample_freq': 143, 'colsample_bytree': 0.29933500972590804, 'reg_alpha': 54.324164327996186, 'reg_lambda': 36.55911439259696}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:17:27,822][0m Trial 25 finished with value: 0.33084346843225043 and parameters: {'sigma': 12.69187838498088, 'a': 12.364228223950008, 'strategy': 'median', 'add_indicator': True, 'max_depth': 92, 'n_estimators': 477, 'boosting_type': 'gbdt', 'num_leaves': 1108, 'learning_rate': 1.3497463258606293e-06, 'min_split_gain': 1.1039347959902213, 'min_child_samples': 441, 'subsample': 0.5436485136451369, 'subsample_freq': 108, 'colsample_bytree': 0.1588431191676978, 'reg_alpha': 54.20769113360471, 'reg_lambda': 37.3106421107655}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:18:31,274][0m Trial 26 finished with value: 0.3486131381907025 and parameters: {'sigma': 13.029333294532794, 'a': 10.16918757209388, 'strategy': 'median', 'add_indicator': True, 'max_depth': 88, 'n_estimators': 697, 'boosting_type': 'gbdt', 'num_leaves': 281, 'learning_rate': 4.516930972847464e-06, 'min_split_gain': 4.633664585707461, 'min_child_samples': 479, 'subsample': 0.43104450550646634, 'subsample_freq': 144, 'colsample_bytree': 0.32983103788515067, 'reg_alpha': 53.955271532478086, 'reg_lambda': 35.69413101900909}. Best is trial 22 with value: 0.35078772687891435.[0m
[32m[I 2022-07-05 22:19:32,710][0m Trial 27 finished with value: 0.3520222444267047 and parameters: {'sigma': 7.693950353985771, 'a': 11.390045103548657, 'strategy': 'median', 'add_indicator': True, 'max_depth': 98, 'n_estimators': 294, 'boosting_type': 'gbdt', 'num_leaves': 1735, 'learning_rate': 6.0650688609787e-07, 'min_split_gain': 1.1922717090213266, 'min_child_samples': 168, 'subsample': 0.5725669781714077, 'subsample_freq': 126, 'colsample_bytree': 0.47086168738631423, 'reg_alpha': 22.084379215522937, 'reg_lambda': 69.53908848311744}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-05 22:20:42,871][0m Trial 28 finished with value: 0.3465930113044989 and parameters: {'sigma': 7.0360498735204775, 'a': 13.746676451069478, 'strategy': 'most_frequent', 'add_indicator': True, 'max_depth': 100, 'n_estimators': 290, 'boosting_type': 'gbdt', 'num_leaves': 12688, 'learning_rate': 3.495197735812057e-07, 'min_split_gain': 1.448699522537175, 'min_child_samples': 164, 'subsample': 0.7112120314482567, 'subsample_freq': 118, 'colsample_bytree': 0.6349053759642183, 'reg_alpha': 22.109660410422567, 'reg_lambda': 69.6322062304171}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:31:33,800][0m Trial 30 finished with value: 0.3502318276697109 and parameters: {'sigma': 7.490808631546061, 'a': 19.01921469755733, 'strategy': 'mean', 'add_indicator': False, 'max_depth': 61, 'n_estimators': 2126, 'boosting_type': 'gbdt', 'num_leaves': 11, 'learning_rate': 8.111941985431915e-07, 'min_split_gain': 1.8340450985343382, 'min_child_samples': 458, 'subsample': 0.5247564316322378, 'subsample_freq': 919, 'colsample_bytree': 0.2983168487960615, 'reg_alpha': 61.18528947223795, 'reg_lambda': 13.949386065204184}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:32:37,830][0m Trial 31 finished with value: 0.33346890707333887 and parameters: {'sigma': 5.842900049257877, 'a': 7.390600681544464, 'strategy': 'median', 'add_indicator': True, 'max_depth': 62, 'n_estimators': 515, 'boosting_type': 'dart', 'num_leaves': 2758, 'learning_rate': 3.334792728637585e-06, 'min_split_gain': 0.9767211400638387, 'min_child_samples': 3078, 'subsample': 0.4401524937396013, 'subsample_freq': 63, 'colsample_bytree': 0.5002251410101575, 'reg_alpha': 3.4388521115218396, 'reg_lambda': 90.9320402078782}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:34:16,118][0m Trial 32 finished with value: 0.3378039740516695 and parameters: {'sigma': 5.175607044200522, 'a': 13.28419345864424, 'strategy': 'most_frequent', 'add_indicator': True, 'max_depth': 95, 'n_estimators': 2685, 'boosting_type': 'gbdt', 'num_leaves': 9, 'learning_rate': 1.6832027985721904e-07, 'min_split_gain': 3.2533033076326436, 'min_child_samples': 699, 'subsample': 0.2713490317738959, 'subsample_freq': 2226, 'colsample_bytree': 0.3631857934266534, 'reg_alpha': 28.093450968738075, 'reg_lambda': 54.26960831582485}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:34:51,295][0m Trial 33 finished with value: 0.29554327166105243 and parameters: {'sigma': 2.8184930902530034, 'a': 16.06371991700539, 'strategy': 'median', 'add_indicator': False, 'max_depth': 71, 'n_estimators': 2189, 'boosting_type': 'rf', 'num_leaves': 4, 'learning_rate': 0.00206784093978395, 'min_split_gain': 6.232981268275579, 'min_child_samples': 523, 'subsample': 0.06355835028602363, 'subsample_freq': 681, 'colsample_bytree': 0.3319314888064796, 'reg_alpha': 72.96061783380641, 'reg_lambda': 63.75574713552131}. Best is trial 27 with value: 0.3520222444267047.[0m
[32m[I 2022-07-06 02:35:29,651][0m Trial 34 finished with value: 0.28642652656254425 and parameters: {'sigma': 17.744255979399107, 'a': 9.49707701072279, 'strategy': 'most_frequent', 'add_indicator': True, 'max_depth': 53, 'n_estimators': 1285, 'boosting_type': 'gbdt', 'num_leaves': 557, 'learning_rate': 3.730610475453588e-06, 'min_split_gain': 5.085706911647028, 'min_child_samples': 9435, 'subsample': 0.24929222914887494, 'subsample_freq': 528, 'colsample_bytree': 0.7579956271576181, 'reg_alpha': 22.879816549162246, 'reg_lambda': 7.697990982879299}. Best is trial 27 with value: 0.3520222444267047.[0m
